message,level,source,method,time
Strategy - BUY Response1 = 102573261,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_20_36
sending Liquidity Info :
2814.60706866
16777.58626732
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_14_23_20_39
Strategy - Submit order : BUY 2813.70300488 nbt @ 0.00383609 btc,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_20_42
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_20_44
Strategy : BUY Response2 = 102573314,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_20_44
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_14_23_21_18
 Sell Price 0.00388951
Buy Price  0.00385466,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_14_23_21_18
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_14_23_21_18
Sat Feb 14 23:21:18 UTC 2015 coinbase btc 258.26 USD 0.00388951 0.00385466 { feed : coinbase - price : 258.26}  { feed : bitcoinaverage - price : 259.62}  { feed : blockchain - price : 258.93}  { feed : btce - price : 256.636}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_14_23_21_18
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_21_42
Shift needed on poloniex: BTC price changed more than 0.125 %,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,run,Feb_14_23_21_42
Immediately try to shift SELL orders,INFO,com.nubits.nubot.tasks.StrategySecondaryPegTask,shiftWalls,Feb_14_23_21_42
Order 102573168 delete request submitted,WARNING,com.nubits.nubot.trading.TradeUtils,takeDownAndWait,Feb_14_23_21_44
Order 102573239 delete request submitted,WARNING,com.nubits.nubot.trading.TradeUtils,takeDownAndWait,Feb_14_23_21_53
Strategy - Submit order : SELL 8388.79313366 nbt @ 0.00388951 btc,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_22_01
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_22_03
Strategy - SELL Response1 = 102573839,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_22_03
Strategy - Submit order : SELL 8388.79313366 nbt @ 0.00388951 btc,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_22_09
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_22_12
Strategy : SELL Response2 = 102573903,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_22_12
Wait 112 seconds to make sure all the bots shif their SELL own orders. Then try to shift BUY orders.,INFO,com.nubits.nubot.tasks.StrategySecondaryPegTask,shiftWalls,Feb_14_23_22_12
Wall shift is postponed: another process is already shifting existing walls. Will try again on next execution.,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_14_23_22_19
Wall shift is postponed: another process is already shifting existing walls. Will try again on next execution.,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_14_23_23_20
Liquidity is not being sent  a wall shift is happening. Will send on next execution.,WARNING,com.nubits.nubot.tasks.SendLiquidityinfoTask,checkOrders,Feb_14_23_23_40
Order 102573261 delete request submitted,WARNING,com.nubits.nubot.trading.TradeUtils,takeDownAndWait,Feb_14_23_24_07
Order 102573314 delete request submitted,WARNING,com.nubits.nubot.trading.TradeUtils,takeDownAndWait,Feb_14_23_24_15
Strategy - Submit order : BUY 2801.04757099 nbt @ 0.00385466 btc,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_24_23
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_24_24
Strategy - BUY Response1 = 102574810,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_24_24
Strategy - Submit order : BUY 2800.14350941 nbt @ 0.00385466 btc,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_24_31
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_24_33
Strategy : BUY Response2 = 102574858,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_24_33
Wall shift successful,INFO,com.nubits.nubot.tasks.StrategySecondaryPegTask,run,Feb_14_23_24_39
sending Liquidity Info :
5601.1910804
16777.58626732
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_14_23_26_41
sending Liquidity Info :
5601.1910804
16777.58626732
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_14_23_29_43
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_14_23_30_27
 Sell Price 0.00389509
Buy Price  0.00386019,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_14_23_30_27
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_14_23_30_27
Sat Feb 14 23:30:27 UTC 2015 coinbase btc 257.89 USD 0.00389509 0.00386019 { feed : coinbase - price : 257.89}  { feed : bitcoinaverage - price : 258.16}  { feed : blockchain - price : 257.48}  { feed : btce - price : 257.464}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_14_23_30_27
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_30_39
Shift needed on poloniex: BTC price changed more than 0.125 %,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,run,Feb_14_23_30_39
Immediately try to shift SELL orders,INFO,com.nubits.nubot.tasks.StrategySecondaryPegTask,shiftWalls,Feb_14_23_30_39
Order 102573839 delete request submitted,WARNING,com.nubits.nubot.trading.TradeUtils,takeDownAndWait,Feb_14_23_30_41
Order 102573903 delete request submitted,WARNING,com.nubits.nubot.trading.TradeUtils,takeDownAndWait,Feb_14_23_30_49
Strategy - Submit order : SELL 8388.79313366 nbt @ 0.00389509 btc,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_30_57
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_30_58
Strategy - SELL Response1 = 102577625,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_30_58
Strategy - Submit order : SELL 8388.79313366 nbt @ 0.00389509 btc,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_31_04
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_31_06
Strategy : SELL Response2 = 102577671,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_31_06
Wait 112 seconds to make sure all the bots shif their SELL own orders. Then try to shift BUY orders.,INFO,com.nubits.nubot.tasks.StrategySecondaryPegTask,shiftWalls,Feb_14_23_31_06
Wall shift is postponed: another process is already shifting existing walls. Will try again on next execution.,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_14_23_31_28
Wall shift is postponed: another process is already shifting existing walls. Will try again on next execution.,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_14_23_32_29
Liquidity is not being sent  a wall shift is happening. Will send on next execution.,WARNING,com.nubits.nubot.tasks.SendLiquidityinfoTask,checkOrders,Feb_14_23_32_43
Order 102574810 delete request submitted,WARNING,com.nubits.nubot.trading.TradeUtils,takeDownAndWait,Feb_14_23_33_00
Order 102574858 delete request submitted,WARNING,com.nubits.nubot.trading.TradeUtils,takeDownAndWait,Feb_14_23_33_08
Strategy - Submit order : BUY 2797.03486875 nbt @ 0.00386019 btc,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_33_17
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_33_18
Strategy - BUY Response1 = 102578570,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_33_18
Strategy - Submit order : BUY 2796.13080703 nbt @ 0.00386019 btc,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_33_24
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_33_26
Strategy : BUY Response2 = 102578615,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_33_26
Wall shift is postponed: another process is already shifting existing walls. Will try again on next execution.,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_14_23_33_30
Wall shift successful,INFO,com.nubits.nubot.tasks.StrategySecondaryPegTask,run,Feb_14_23_33_32
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_14_23_34_31
 Sell Price 0.00391391
Buy Price  0.00387884,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_14_23_34_31
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_14_23_34_31
Sat Feb 14 23:34:31 UTC 2015 coinbase btc 256.65 USD 0.00391391 0.00387884 { feed : coinbase - price : 256.65}  { feed : bitcoinaverage - price : 256.78}  { feed : blockchain - price : 256.47}  { feed : btce - price : 253.393}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_14_23_34_31
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_34_45
Shift needed on poloniex: BTC price changed more than 0.125 %,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,run,Feb_14_23_34_45
Immediately try to shift SELL orders,INFO,com.nubits.nubot.tasks.StrategySecondaryPegTask,shiftWalls,Feb_14_23_34_45
Order 102577625 delete request submitted,WARNING,com.nubits.nubot.trading.TradeUtils,takeDownAndWait,Feb_14_23_34_47
Order 102577671 delete request submitted,WARNING,com.nubits.nubot.trading.TradeUtils,takeDownAndWait,Feb_14_23_34_54
Strategy - Submit order : SELL 8388.79313366 nbt @ 0.00391391 btc,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_35_02
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_35_04
Strategy - SELL Response1 = 102579252,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_35_04
Strategy - Submit order : SELL 8388.79313366 nbt @ 0.00391391 btc,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_35_10
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_35_11
Strategy : SELL Response2 = 102579295,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_35_11
Wait 112 seconds to make sure all the bots shif their SELL own orders. Then try to shift BUY orders.,INFO,com.nubits.nubot.tasks.StrategySecondaryPegTask,shiftWalls,Feb_14_23_35_11
Liquidity is not being sent  a wall shift is happening. Will send on next execution.,WARNING,com.nubits.nubot.tasks.SendLiquidityinfoTask,checkOrders,Feb_14_23_35_44
Wall shift is postponed: another process is already shifting existing walls. Will try again on next execution.,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_14_23_36_33
Order 102578570 delete request submitted,WARNING,com.nubits.nubot.trading.TradeUtils,takeDownAndWait,Feb_14_23_37_05
Order 102578615 delete request submitted,WARNING,com.nubits.nubot.trading.TradeUtils,takeDownAndWait,Feb_14_23_37_13
Strategy - Submit order : BUY 2783.58633767 nbt @ 0.00387884 btc,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_37_21
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_37_22
Strategy - BUY Response1 = 102580204,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_37_22
Strategy - Submit order : BUY 2782.68227614 nbt @ 0.00387884 btc,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_37_28
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_37_29
Strategy : BUY Response2 = 102580251,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_37_29
Wall shift is postponed: another process is already shifting existing walls. Will try again on next execution.,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_14_23_37_34
Wall shift successful,INFO,com.nubits.nubot.tasks.StrategySecondaryPegTask,run,Feb_14_23_37_35
javax.net.ssl.SSLHandshakeException: Remote host closed connection during handshake,SEVERE,com.nubits.nubot.trading.wrappers.PoloniexWrapper$PoloniexService,executeQuery,Feb_14_23_37_56
ApiError [getCode 4 getDescription Null Return],SEVERE,com.nubits.nubot.tasks.StrategySecondaryPegTask,recount,Feb_14_23_37_56
javax.net.ssl.SSLHandshakeException: Remote host closed connection during handshake,SEVERE,com.nubits.nubot.trading.wrappers.PoloniexWrapper$PoloniexService,executeQuery,Feb_14_23_38_35
ApiError [getCode 4 getDescription Null Return],SEVERE,com.nubits.nubot.tasks.StrategySecondaryPegTask,countActiveOrders,Feb_14_23_38_35
Detected a number of active orders not in line with strategy. Will try to aggregate soon,SEVERE,com.nubits.nubot.tasks.StrategySecondaryPegTask,run,Feb_14_23_38_35
sending Liquidity Info :
5566.26861381
16777.58626732
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_14_23_38_55
java.net.ConnectException: Connection timed out: connect,SEVERE,com.nubits.nubot.trading.wrappers.PoloniexWrapper$PoloniexService,executeQuery,Feb_14_23_38_57
ApiError [getCode 4 getDescription Null Return],SEVERE,com.nubits.nubot.tasks.StrategySecondaryPegTask,recount,Feb_14_23_38_57
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_38_57
Order reset needed on poloniex,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,run,Feb_14_23_38_57
Order 102580204 deleted succesfully,WARNING,com.nubits.nubot.trading.wrappers.PoloniexWrapper,clearOrders,Feb_14_23_39_03
Order 102580251 deleted succesfully,WARNING,com.nubits.nubot.trading.wrappers.PoloniexWrapper,clearOrders,Feb_14_23_39_08
Order 102579252 deleted succesfully,WARNING,com.nubits.nubot.trading.wrappers.PoloniexWrapper,clearOrders,Feb_14_23_39_11
Order 102579295 deleted succesfully,WARNING,com.nubits.nubot.trading.wrappers.PoloniexWrapper,clearOrders,Feb_14_23_39_15
Clear all orders request succesfully,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,reInitiateOrders,Feb_14_23_39_15
Are all orders canceled? true,INFO,com.nubits.nubot.tasks.StrategySecondaryPegTask,reInitiateOrders,Feb_14_23_39_21
Strategy - Submit order : SELL 8388.79313366 nbt @ 0.00391391 btc,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_39_23
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_39_35
Strategy - SELL Response1 = 102581099,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_39_35
Strategy - Submit order : SELL 8388.79313366 nbt @ 0.00391391 btc,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_39_42
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_39_43
Strategy : SELL Response2 = 102581167,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_39_43
Strategy - Submit order : BUY 2783.58633767 nbt @ 0.00387884 btc,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_39_44
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_39_47
Strategy - BUY Response1 = 102581186,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_39_47
Strategy - Submit order : BUY 2782.68227614 nbt @ 0.00387884 btc,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_39_54
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_39_55
Strategy : BUY Response2 = 102581234,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_39_55
sending Liquidity Info :
5566.26861381
16777.58626732
{"submitted":true},INFO,com.nubits.nubot.tasks.SendLiquidityinfoTask,sendLiquidityInfo,Feb_14_23_41_47
Walls needs to be shifted,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_14_23_43_40
 Sell Price 0.0039019
Buy Price  0.00386694,INFO,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_14_23_43_40
Strategy received a price change notification.,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,notifyPriceChanged,Feb_14_23_43_40
Sat Feb 14 23:43:40 UTC 2015 coinbase btc 257.44 USD 0.0039019 0.00386694 { feed : coinbase - price : 257.44}  { feed : bitcoinaverage - price : 256.75}  { feed : blockchain - price : 256.47}  { feed : btce - price : 255.554}  
,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,computeNewPrices,Feb_14_23_43_40
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_44_23
Shift needed on poloniex: BTC price changed more than 0.125 %,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,run,Feb_14_23_44_23
Immediately try to shift BUY orders,INFO,com.nubits.nubot.tasks.StrategySecondaryPegTask,shiftWalls,Feb_14_23_44_23
Order 102581186 delete request submitted,WARNING,com.nubits.nubot.trading.TradeUtils,takeDownAndWait,Feb_14_23_44_26
Order 102581234 delete request submitted,WARNING,com.nubits.nubot.trading.TradeUtils,takeDownAndWait,Feb_14_23_44_34
Wall shift is postponed: another process is already shifting existing walls. Will try again on next execution.,WARNING,com.nubits.nubot.tasks.PriceMonitorTriggerTask,verifyPegPrices,Feb_14_23_44_41
Strategy - Submit order : BUY 2792.15245905 nbt @ 0.00386694 btc,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_44_42
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_44_44
Strategy - BUY Response1 = 102582969,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_44_44
Liquidity is not being sent  a wall shift is happening. Will send on next execution.,WARNING,com.nubits.nubot.tasks.SendLiquidityinfoTask,checkOrders,Feb_14_23_44_47
Strategy - Submit order : BUY 2791.24839796 nbt @ 0.00386694 btc,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_44_50
sun.security.validator.ValidatorException: PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,SEVERE,com.nubits.nubot.notifications.jhipchat.Room,sendMessage,Feb_14_23_44_51
Strategy : BUY Response2 = 102583038,WARNING,com.nubits.nubot.tasks.StrategySecondaryPegTask,initOrders,Feb_14_23_44_51
